"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99574,-0.020512,-0.00066315,0.32,-0.28182,0.5
0.99572,-0.020715,-0.00065545,0.32,-0.27816,0.5
0.9957,-0.020919,-0.00064775,0.32,-0.2745,0.5
0.99568,-0.021123,-0.00064005,0.32,-0.27084,0.5
0.99566,-0.021327,-0.00063235,0.32,-0.26718,0.5
0.99564,-0.02153,-0.00062465,0.32,-0.26352,0.5
0.99561,-0.021734,-0.00061695,0.32,-0.25986,0.5
0.99559,-0.02194,-0.00060905,0.32,-0.2562,0.5
0.99556,-0.022149,-0.00060073,0.32,-0.25254,0.5
0.99552,-0.022359,-0.0005924,0.32,-0.24888,0.5
0.99549,-0.022568,-0.00058407,0.32,-0.24522,0.5
0.99546,-0.022778,-0.00057574,0.32,-0.24156,0.5
0.99542,-0.022987,-0.00056742,0.32,-0.2379,0.5
0.99539,-0.023197,-0.00055909,0.32,-0.23424,0.5
0.99535,-0.023407,-0.00055076,0.32,-0.23058,0.5
0.99532,-0.023617,-0.00054222,0.32,-0.22692,0.5
0.99528,-0.023829,-0.00053346,0.32,-0.22326,0.5
0.99525,-0.02404,-0.0005247,0.32,-0.2196,0.5
0.99521,-0.024252,-0.00051594,0.32,-0.21594,0.5
0.99517,-0.024464,-0.00050718,0.32,-0.21228,0.5
0.99513,-0.024675,-0.00049842,0.32,-0.20862,0.5
0.9951,-0.024887,-0.00048966,0.32,-0.20496,0.5
0.99506,-0.025098,-0.00048089,0.32,-0.2013,0.5
0.99501,-0.025307,-0.00047181,0.32,-0.19764,0.5
0.99496,-0.025515,-0.00046259,0.32,-0.19398,0.5
0.99491,-0.025722,-0.00045337,0.32,-0.19032,0.5
0.99485,-0.02593,-0.00044414,0.32,-0.18666,0.5
0.9948,-0.026138,-0.00043492,0.32,-0.183,0.5
0.99475,-0.026345,-0.00042569,0.32,-0.17934,0.5
0.99469,-0.026553,-0.00041647,0.32,-0.17568,0.5
0.99464,-0.02676,-0.00040724,0.32,-0.17202,0.5
0.99454,-0.026958,-0.00039782,0.32,-0.16836,0.5
0.99443,-0.027153,-0.00038837,0.32,-0.1647,0.5
0.99432,-0.027349,-0.00037891,0.32,-0.16104,0.5
0.99421,-0.027545,-0.00036946,0.32,-0.15738,0.5
0.9941,-0.027741,-0.00036001,0.32,-0.15372,0.5
0.99399,-0.027936,-0.00035055,0.32,-0.15006,0.5
0.99388,-0.028132,-0.0003411,0.32,-0.1464,0.5
0.99377,-0.028327,-0.00033167,0.32,-0.14274,0.5
0.99358,-0.028503,-0.00032264,0.32,-0.13908,0.5
0.99339,-0.028679,-0.0003136,0.32,-0.13542,0.5
0.99319,-0.028855,-0.00030456,0.32,-0.13176,0.5
0.993,-0.029031,-0.00029553,0.32,-0.1281,0.5
0.99281,-0.029207,-0.00028649,0.32,-0.12444,0.5
0.99262,-0.029384,-0.00027745,0.32,-0.12078,0.5
0.99242,-0.02956,-0.00026842,0.32,-0.11712,0.5
0.99221,-0.029729,-0.00025964,0.32,-0.11346,0.5
0.99194,-0.029878,-0.00025162,0.32,-0.1098,0.5
0.99168,-0.030026,-0.00024361,0.32,-0.10614,0.5
0.99141,-0.030175,-0.0002356,0.32,-0.10248,0.5
0.99114,-0.030323,-0.00022759,0.32,-0.09882,0.5
0.99088,-0.030472,-0.00021957,0.32,-0.09516,0.5
0.99061,-0.030621,-0.00021156,0.32,-0.0915,0.5
0.99034,-0.030769,-0.00020355,0.32,-0.08784,0.5
0.99006,-0.030902,-0.00019618,0.32,-0.08418,0.5
0.98976,-0.031015,-0.00018965,0.32,-0.08052,0.5
0.98946,-0.031128,-0.00018311,0.32,-0.07686,0.5
0.98916,-0.031241,-0.00017658,0.32,-0.0732,0.5
0.98886,-0.031354,-0.00017004,0.32,-0.06954,0.5
0.98856,-0.031467,-0.00016351,0.32,-0.06588,0.5
0.98827,-0.03158,-0.00015697,0.32,-0.06222,0.5
0.98797,-0.031693,-0.00015044,0.32,-0.05856,0.5
0.9877,-0.031783,-0.00014479,0.32,-0.0549,0.5
0.98745,-0.03186,-0.00013967,0.32,-0.05124,0.5
0.9872,-0.031936,-0.00013455,0.32,-0.04758,0.5
0.98695,-0.032013,-0.00012943,0.32,-0.04392,0.5
0.9867,-0.032089,-0.00012431,0.32,-0.04026,0.5
0.98645,-0.032166,-0.00011919,0.32,-0.0366,0.5
0.9862,-0.032242,-0.00011407,0.32,-0.03294,0.5
0.98595,-0.032319,-0.00010895,0.32,-0.02928,0.5
0.98582,-0.032362,-0.00010544,0.32,-0.02562,0.5
0.98571,-0.032398,-0.0001023,0.32,-0.02196,0.5
0.9856,-0.032433,-9.916e-05,0.32,-0.0183,0.5
0.9855,-0.032469,-9.602e-05,0.32,-0.01464,0.5
0.98539,-0.032504,-9.288e-05,0.32,-0.01098,0.5
0.98528,-0.03254,-8.9741e-05,0.32,-0.00732,0.5
0.98517,-0.032575,-8.6601e-05,0.32,-0.00366,0.5
0.98506,-0.032611,-8.3462e-05,0.32,0,0.5
0.98519,-0.03261,-8.0939e-05,0.32,0.00366,0.5
0.98532,-0.032608,-7.8416e-05,0.32,0.00732,0.5
0.98544,-0.032607,-7.5894e-05,0.32,0.01098,0.5
0.98557,-0.032606,-7.3371e-05,0.32,0.01464,0.5
0.9857,-0.032605,-7.0849e-05,0.32,0.0183,0.5
0.98583,-0.032603,-6.8326e-05,0.32,0.02196,0.5
0.98595,-0.032602,-6.5804e-05,0.32,0.02562,0.5
0.98613,-0.032594,-6.2919e-05,0.32,0.02928,0.5
0.9865,-0.032555,-5.8463e-05,0.32,0.03294,0.5
0.98688,-0.032517,-5.4007e-05,0.32,0.0366,0.5
0.98725,-0.032479,-4.9551e-05,0.32,0.04026,0.5
0.98763,-0.032441,-4.5096e-05,0.32,0.04392,0.5
0.98801,-0.032402,-4.064e-05,0.32,0.04758,0.5
0.98838,-0.032364,-3.6184e-05,0.32,0.05124,0.5
0.98876,-0.032326,-3.1728e-05,0.32,0.0549,0.5
0.98919,-0.032272,-2.6816e-05,0.32,0.05856,0.5
0.98971,-0.032191,-2.1141e-05,0.32,0.06222,0.5
0.99023,-0.032111,-1.5466e-05,0.32,0.06588,0.5
0.99075,-0.032031,-9.7914e-06,0.32,0.06954,0.5
0.99128,-0.03195,-4.1167e-06,0.32,0.0732,0.5
0.9918,-0.03187,1.5581e-06,0.32,0.07686,0.5
0.99232,-0.03179,7.2328e-06,0.32,0.08052,0.5
0.99284,-0.031709,1.2908e-05,0.32,0.08418,0.5
0.99338,-0.031608,1.9261e-05,0.32,0.08784,0.5
0.99392,-0.031491,2.6142e-05,0.32,0.0915,0.5
0.99446,-0.031374,3.3023e-05,0.32,0.09516,0.5
0.99501,-0.031257,3.9904e-05,0.32,0.09882,0.5
0.99555,-0.03114,4.6786e-05,0.32,0.10248,0.5
0.9961,-0.031023,5.3667e-05,0.32,0.10614,0.5
0.99664,-0.030906,6.0548e-05,0.32,0.1098,0.5
0.99719,-0.030788,6.7429e-05,0.32,0.11346,0.5
0.99768,-0.030645,7.5524e-05,0.32,0.11712,0.5
0.99815,-0.030493,8.4023e-05,0.32,0.12078,0.5
0.99862,-0.030341,9.2522e-05,0.32,0.12444,0.5
0.99909,-0.030189,0.00010102,0.32,0.1281,0.5
0.99957,-0.030037,0.00010952,0.32,0.13176,0.5
1,-0.029885,0.00011802,0.32,0.13542,0.5
1.0005,-0.029733,0.00012652,0.32,0.13908,0.5
1.001,-0.029581,0.00013502,0.32,0.14274,0.5
1.0013,-0.029405,0.00014429,0.32,0.1464,0.5
1.0017,-0.029226,0.00015361,0.32,0.15006,0.5
1.002,-0.029047,0.00016294,0.32,0.15372,0.5
1.0024,-0.028869,0.00017226,0.32,0.15738,0.5
1.0027,-0.02869,0.00018159,0.32,0.16104,0.5
1.0031,-0.028512,0.00019091,0.32,0.1647,0.5
1.0034,-0.028333,0.00020024,0.32,0.16836,0.5
1.0038,-0.028152,0.00020961,0.32,0.17202,0.5
1.004,-0.027953,0.00021933,0.32,0.17568,0.5
1.0042,-0.027754,0.00022905,0.32,0.17934,0.5
1.0044,-0.027556,0.00023877,0.32,0.183,0.5
1.0046,-0.027357,0.00024849,0.32,0.18666,0.5
1.0048,-0.027158,0.00025821,0.32,0.19032,0.5
1.0051,-0.026959,0.00026793,0.32,0.19398,0.5
1.0053,-0.02676,0.00027765,0.32,0.19764,0.5
1.0054,-0.026557,0.00028736,0.32,0.2013,0.5
1.0055,-0.026347,0.00029705,0.32,0.20496,0.5
1.0056,-0.026136,0.00030674,0.32,0.20862,0.5
1.0057,-0.025926,0.00031643,0.32,0.21228,0.5
1.0058,-0.025715,0.00032612,0.32,0.21594,0.5
1.0059,-0.025505,0.00033581,0.32,0.2196,0.5
1.006,-0.025294,0.0003455,0.32,0.22326,0.5
1.0061,-0.025084,0.00035519,0.32,0.22692,0.5
1.0062,-0.024871,0.00036472,0.32,0.23058,0.5
1.0062,-0.024657,0.0003741,0.32,0.23424,0.5
1.0062,-0.024443,0.00038347,0.32,0.2379,0.5
1.0063,-0.024228,0.00039285,0.32,0.24156,0.5
1.0063,-0.024014,0.00040222,0.32,0.24522,0.5
1.0063,-0.0238,0.00041159,0.32,0.24888,0.5
1.0064,-0.023585,0.00042097,0.32,0.25254,0.5
1.0064,-0.023371,0.00043034,0.32,0.2562,0.5
1.0064,-0.023158,0.0004393,0.32,0.25986,0.5
1.0064,-0.022947,0.00044806,0.32,0.26352,0.5
1.0064,-0.022735,0.00045682,0.32,0.26718,0.5
1.0064,-0.022524,0.00046559,0.32,0.27084,0.5
1.0064,-0.022312,0.00047435,0.32,0.2745,0.5
1.0064,-0.0221,0.00048311,0.32,0.27816,0.5
1.0064,-0.021889,0.00049188,0.32,0.28182,0.5
1.0064,-0.021677,0.00050064,0.32,0.28548,0.5
1.0064,-0.021473,0.00050872,0.32,0.28914,0.5
1.0064,-0.02127,0.00051671,0.32,0.2928,0.5
1.0064,-0.021067,0.00052469,0.32,0.29646,0.5
1.0064,-0.020864,0.00053267,0.32,0.30012,0.5
1.0063,-0.020661,0.00054066,0.32,0.30378,0.5
1.0063,-0.020458,0.00054864,0.32,0.30744,0.5
1.0063,-0.020255,0.00055663,0.32,0.3111,0.5
1.0063,-0.020049,0.00056484,0.32,0.31476,0.5
1.0062,-0.019787,0.00057656,0.32,0.31842,0.5
1.0061,-0.019525,0.00058827,0.32,0.32208,0.5
1.006,-0.019263,0.00059998,0.32,0.32574,0.5
1.0059,-0.019001,0.00061169,0.32,0.3294,0.5
1.0058,-0.018739,0.0006234,0.32,0.33306,0.5
1.0057,-0.018477,0.00063511,0.32,0.33672,0.5
1.0056,-0.018215,0.00064682,0.32,0.34038,0.5
1.0055,-0.017991,0.0006566,0.32,0.34404,0.5
1.0055,-0.01788,0.00066057,0.32,0.3477,0.5
1.0054,-0.017769,0.00066454,0.32,0.35136,0.5
1.0054,-0.017657,0.00066851,0.32,0.35502,0.5
1.0054,-0.017546,0.00067249,0.32,0.35868,0.5
1.0054,-0.017435,0.00067646,0.32,0.36234,0.5
1.0054,-0.017323,0.00068043,0.32,0.366,0.5
1.0054,-0.017212,0.0006844,0.32,0.36966,0.5
1.0053,-0.017059,0.00068947,0.32,0.37332,0.5
1.0053,-0.016852,0.00069594,0.32,0.37698,0.5
1.0053,-0.016644,0.00070241,0.32,0.38064,0.5
1.0053,-0.016437,0.00070888,0.32,0.3843,0.5
1.0052,-0.01623,0.00071535,0.32,0.38796,0.5
1.0052,-0.016023,0.00072182,0.32,0.39162,0.5
1.0052,-0.015815,0.00072829,0.32,0.39528,0.5
1.0052,-0.015608,0.00073476,0.32,0.39894,0.5
1.0051,-0.015437,0.00073904,0.32,0.4026,0.5
1.0051,-0.01529,0.0007423,0.32,0.40626,0.5
1.0051,-0.015145,0.00074582,0.32,0.40992,0.5
1.005,-0.015001,0.00074952,0.32,0.41358,0.5
1.005,-0.014857,0.00075335,0.32,0.41724,0.5
1.005,-0.014714,0.00075728,0.32,0.4209,0.5
1.005,-0.014571,0.0007613,0.32,0.42456,0.5
1.0049,-0.014429,0.00076538,0.32,0.42822,0.5
1.0049,-0.014287,0.00076953,0.32,0.43188,0.5
1.0049,-0.014146,0.00077371,0.32,0.43554,0.5
1.0049,-0.014004,0.00077794,0.32,0.4392,0.5
1.0048,-0.013863,0.00078221,0.32,0.44286,0.5
1.0048,-0.013722,0.0007865,0.32,0.44652,0.5
1.0048,-0.013581,0.00079045,0.32,0.45018,0.5
1.0048,-0.01344,0.0007941,0.32,0.45384,0.5
1.0047,-0.013298,0.00079776,0.32,0.4575,0.5
1.0047,-0.013184,0.0008014,0.32,0.46116,0.5
1.0046,-0.013071,0.00080504,0.32,0.46482,0.5
1.0046,-0.012957,0.00080868,0.32,0.46848,0.5
1.0045,-0.012843,0.00081232,0.32,0.47214,0.5
1.0045,-0.012729,0.00081597,0.32,0.4758,0.5
1.0044,-0.012615,0.00081961,0.32,0.47946,0.5
1.0044,-0.012502,0.00082325,0.32,0.48312,0.5
1.0043,-0.012388,0.00082689,0.32,0.48678,0.5
1.0043,-0.012274,0.00083053,0.32,0.49044,0.5
1.0042,-0.01216,0.00083418,0.32,0.4941,0.5
1.0042,-0.012047,0.00083782,0.32,0.49776,0.5
1.0041,-0.011933,0.00084146,0.32,0.50142,0.5
1.0041,-0.011819,0.0008451,0.32,0.50508,0.5
1.004,-0.011705,0.00084875,0.32,0.50874,0.5
1.004,-0.011592,0.00085239,0.32,0.5124,0.5
1.0039,-0.011465,0.00085621,0.32,0.51606,0.5
1.0038,-0.011317,0.00086033,0.32,0.51972,0.5
1.0038,-0.011169,0.00086445,0.32,0.52338,0.5
1.0037,-0.01102,0.00086857,0.32,0.52704,0.5
1.0037,-0.010872,0.00087269,0.32,0.5307,0.5
1.0036,-0.010724,0.00087681,0.32,0.53436,0.5
1.0036,-0.010576,0.00088093,0.32,0.53802,0.5
1.0035,-0.010428,0.00088506,0.32,0.54168,0.5
1.0035,-0.01028,0.00088918,0.32,0.54534,0.5
1.0034,-0.010131,0.0008933,0.32,0.549,0.5
1.0033,-0.0099832,0.00089742,0.32,0.55266,0.5
1.0033,-0.009835,0.00090154,0.32,0.55632,0.5
1.0032,-0.0096869,0.00090566,0.32,0.55998,0.5
1.0032,-0.0095387,0.00090978,0.32,0.56364,0.5
1.0031,-0.0093905,0.0009139,0.32,0.5673,0.5
1.0031,-0.0092424,0.00091802,0.32,0.57096,0.5
nan,nan,nan,0.32,0.57462,0.5
nan,nan,nan,0.32,0.57828,0.5
1.003,-0.0090451,0.00092669,0.32,0.58194,0.5
1.003,-0.0089872,0.00092943,0.32,0.5856,0.5
1.003,-0.0089296,0.00093215,0.32,0.58926,0.5
1.003,-0.0088721,0.00093487,0.32,0.59292,0.5
1.003,-0.0088148,0.00093757,0.32,0.59658,0.5
1.003,-0.0087575,0.00094026,0.32,0.60024,0.5
1.0029,-0.0087004,0.00094294,0.32,0.6039,0.5
1.0029,-0.0086434,0.00094561,0.32,0.60756,0.5
1.0029,-0.0085865,0.00094828,0.32,0.61122,0.5
1.0029,-0.0085297,0.00095093,0.32,0.61488,0.5
1.0029,-0.008473,0.00095358,0.32,0.61854,0.5
1.0029,-0.0084163,0.00095623,0.32,0.6222,0.5
1.0029,-0.0083598,0.00095887,0.32,0.62586,0.5
1.0029,-0.0083032,0.0009615,0.32,0.62952,0.5
1.0029,-0.0082468,0.00096413,0.32,0.63318,0.5
1.0028,-0.0081904,0.00096675,0.32,0.63684,0.5
1.0028,-0.008134,0.00096937,0.32,0.6405,0.5
1.0028,-0.0080777,0.00097199,0.32,0.64416,0.5
1.0028,-0.0080214,0.0009746,0.32,0.64782,0.5
1.0028,-0.0079652,0.00097721,0.32,0.65148,0.5
1.0028,-0.007909,0.00097982,0.32,0.65514,0.5
1.0028,-0.0078528,0.00098242,0.32,0.6588,0.5
1.0028,-0.0077967,0.00098502,0.32,0.66246,0.5
1.0028,-0.0077406,0.00098762,0.32,0.66612,0.5
1.0028,-0.0076846,0.00099022,0.32,0.66978,0.5
1.0027,-0.0076285,0.00099281,0.32,0.67344,0.5
1.0027,-0.0075725,0.00099493,0.32,0.6771,0.5
1.0027,-0.0075167,0.00098981,0.32,0.68076,0.5
1.0027,-0.0074608,0.0009847,0.32,0.68442,0.5
1.0027,-0.0073955,0.00098089,0.32,0.68808,0.5
1.0027,-0.0073209,0.00097839,0.32,0.69174,0.5
1.0026,-0.0072463,0.00097588,0.32,0.6954,0.5
1.0026,-0.0071717,0.00097337,0.32,0.69906,0.5
1.0026,-0.0070972,0.00097087,0.32,0.70272,0.5
1.0025,-0.0070226,0.00096836,0.32,0.70638,0.5
1.0025,-0.006948,0.00096586,0.32,0.71004,0.5
1.0025,-0.0068734,0.00096335,0.32,0.7137,0.5
1.0025,-0.0067988,0.00096084,0.32,0.71736,0.5
1.0024,-0.0067242,0.00095834,0.32,0.72102,0.5
1.0024,-0.0066496,0.00095583,0.32,0.72468,0.5
1.0024,-0.006575,0.00095332,0.32,0.72834,0.5
1.0023,-0.0065005,0.00095082,0.32,0.732,0.5
1.0023,-0.0064259,0.00094831,0.32,0.73566,0.5
1.0023,-0.0063513,0.00094581,0.32,0.73932,0.5
1.0023,-0.0062767,0.0009433,0.32,0.74298,0.5
1.0022,-0.0062021,0.00094079,0.32,0.74664,0.5
1.0022,-0.0061275,0.00093829,0.32,0.7503,0.5
1.0022,-0.0060529,0.00093578,0.32,0.75396,0.5
1.0021,-0.0059783,0.00093328,0.32,0.75762,0.5
1.0021,-0.0059038,0.00093077,0.32,0.76128,0.5
1.0021,-0.0058292,0.00092826,0.32,0.76494,0.5
1.0021,-0.0057546,0.00092576,0.32,0.7686,0.5
1.002,-0.00568,0.00092325,0.32,0.77226,0.5
1.002,-0.0056054,0.00092074,0.32,0.77592,0.5
1.002,-0.0055308,0.00091824,0.32,0.77958,0.5
1.0019,-0.0054562,0.00091573,0.32,0.78324,0.5
1.0019,-0.0053816,0.00091323,0.32,0.7869,0.5
1.0019,-0.005307,0.00091072,0.32,0.79056,0.5
1.0019,-0.0052325,0.00090821,0.32,0.79422,0.5
1.0018,-0.0051579,0.00090571,0.32,0.79788,0.5
1.0018,-0.0050915,0.00090349,0.32,0.80154,0.5
1.0018,-0.00505,0.00090214,0.32,0.8052,0.5
1.0018,-0.0050084,0.00090078,0.32,0.80886,0.5
1.0017,-0.0049669,0.00089943,0.32,0.81252,0.5
1.0017,-0.0049253,0.00089807,0.32,0.81618,0.5
1.0017,-0.0048838,0.00089672,0.32,0.81984,0.5
1.0017,-0.0048422,0.00089536,0.32,0.8235,0.5
1.0017,-0.0048007,0.00089401,0.32,0.82716,0.5
1.0017,-0.0047592,0.00089265,0.32,0.83082,0.5
1.0017,-0.0047176,0.0008913,0.32,0.83448,0.5
1.0016,-0.0046761,0.00088994,0.32,0.83814,0.5
1.0016,-0.0046345,0.00088859,0.32,0.8418,0.5
1.0016,-0.004593,0.00088724,0.32,0.84546,0.5
1.0016,-0.0045514,0.00088588,0.32,0.84912,0.5
1.0016,-0.0045099,0.00088453,0.32,0.85278,0.5
1.0016,-0.0044683,0.00088317,0.32,0.85644,0.5
1.0015,-0.0044268,0.00088182,0.32,0.8601,0.5
1.0015,-0.0043852,0.00088046,0.32,0.86376,0.5
1.0015,-0.0043437,0.00087911,0.32,0.86742,0.5
1.0015,-0.0043021,0.00087775,0.32,0.87108,0.5
1.0015,-0.0042606,0.0008764,0.32,0.87474,0.5
1.0015,-0.004219,0.00087504,0.32,0.8784,0.5
1.0014,-0.0041775,0.00087369,0.32,0.88206,0.5
1.0014,-0.0041359,0.00087234,0.32,0.88572,0.5
1.0014,-0.0040944,0.00087098,0.32,0.88938,0.5
1.0014,-0.0040528,0.00086963,0.32,0.89304,0.5
1.0014,-0.0040113,0.00086827,0.32,0.8967,0.5
1.0014,-0.0039697,0.00086692,0.32,0.90036,0.5
1.0013,-0.0039282,0.00086556,0.32,0.90402,0.5
1.0013,-0.0038866,0.00086421,0.32,0.90768,0.5
1.0013,-0.0038451,0.00086285,0.32,0.91134,0.5
1.0013,-0.0038035,0.0008615,0.32,0.915,0.5
1.0013,-0.0037734,0.00085977,0.32,0.91866,0.5
1.0013,-0.0037432,0.00085804,0.32,0.92232,0.5
1.0013,-0.003713,0.00085632,0.32,0.92598,0.5
1.0013,-0.0036829,0.00085459,0.32,0.92964,0.5
1.0012,-0.0036527,0.00085286,0.32,0.9333,0.5
1.0012,-0.0036225,0.00085113,0.32,0.93696,0.5
1.0012,-0.0035924,0.00084941,0.32,0.94062,0.5
1.0012,-0.0035622,0.00084768,0.32,0.94428,0.5
1.0012,-0.0035321,0.00084595,0.32,0.94794,0.5
1.0012,-0.0035019,0.00084422,0.32,0.9516,0.5
1.0012,-0.0034717,0.0008425,0.32,0.95526,0.5
1.0012,-0.0034416,0.00084077,0.32,0.95892,0.5
1.0011,-0.0034114,0.00083904,0.32,0.96258,0.5
1.0011,-0.0033812,0.00083731,0.32,0.96624,0.5
1.0011,-0.0033511,0.00083559,0.32,0.9699,0.5
1.0011,-0.0033209,0.00083386,0.32,0.97356,0.5
1.0011,-0.0032907,0.00083213,0.32,0.97722,0.5
1.0011,-0.0032606,0.0008304,0.32,0.98088,0.5
1.0011,-0.0032304,0.00082868,0.32,0.98454,0.5
1.0011,-0.0032003,0.00082695,0.32,0.9882,0.5
1.0011,-0.0031701,0.00082522,0.32,0.99186,0.5
1.001,-0.0031399,0.00082349,0.32,0.99552,0.5
1.001,-0.0031098,0.00082177,0.32,0.99918,0.5
1.001,-0.0030796,0.00082004,0.32,1.0028,0.5
1.001,-0.0030494,0.00081831,0.32,1.0065,0.5
1.001,-0.0030193,0.00081658,0.32,1.0102,0.5
1.001,-0.0029891,0.00081486,0.32,1.0138,0.5
1.001,-0.0029589,0.00081313,0.32,1.0175,0.5
1.001,-0.0029288,0.0008114,0.32,1.0211,0.5
1.0009,-0.0028986,0.00080967,0.32,1.0248,0.5
1.0009,-0.0028685,0.00080795,0.32,1.0285,0.5
1.0009,-0.0028439,0.00080616,0.32,1.0321,0.5
1.0009,-0.0028212,0.00080435,0.32,1.0358,0.5
1.0009,-0.0027985,0.00080254,0.32,1.0394,0.5
1.0009,-0.0027758,0.00080073,0.32,1.0431,0.5
1.0009,-0.0027531,0.00079893,0.32,1.0468,0.5
1.0009,-0.0027304,0.00079712,0.32,1.0504,0.5
1.0009,-0.0027077,0.00079531,0.32,1.0541,0.5
1.0009,-0.002685,0.0007935,0.32,1.0577,0.5
1.0009,-0.0026623,0.0007917,0.32,1.0614,0.5
1.0009,-0.0026396,0.00078989,0.32,1.0651,0.5
1.0008,-0.0026169,0.00078808,0.32,1.0687,0.5
1.0008,-0.0025942,0.00078627,0.32,1.0724,0.5
1.0008,-0.0025715,0.00078446,0.32,1.076,0.5
1.0008,-0.0025488,0.00078266,0.32,1.0797,0.5
1.0008,-0.0025261,0.00078085,0.32,1.0834,0.5
1.0008,-0.0025034,0.00077904,0.32,1.087,0.5
1.0008,-0.0024807,0.00077723,0.32,1.0907,0.5
1.0008,-0.002458,0.00077543,0.32,1.0943,0.5
1.0008,-0.0024353,0.00077362,0.32,1.098,0.5
1.0008,-0.0024126,0.00077181,0.32,1.1017,0.5
1.0008,-0.0023899,0.00077,0.32,1.1053,0.5
1.0007,-0.0023672,0.00076819,0.32,1.109,0.5
1.0007,-0.0023445,0.00076639,0.32,1.1126,0.5
1.0007,-0.0023218,0.00076458,0.32,1.1163,0.5
1.0007,-0.0022991,0.00076277,0.32,1.12,0.5
1.0007,-0.0022765,0.00076096,0.32,1.1236,0.5
1.0007,-0.0022538,0.00075915,0.32,1.1273,0.5
1.0007,-0.0022311,0.00075735,0.32,1.1309,0.5
1.0007,-0.0022084,0.00075554,0.32,1.1346,0.5
1.0007,-0.0021857,0.00075373,0.32,1.1383,0.5
1.0007,-0.002163,0.00075192,0.32,1.1419,0.5
1.0007,-0.0021429,0.00075016,0.32,1.1456,0.5
1.0007,-0.0021255,0.00074845,0.32,1.1492,0.5
1.0007,-0.0021081,0.00074674,0.32,1.1529,0.5
1.0006,-0.0020908,0.00074503,0.32,1.1566,0.5
1.0006,-0.0020734,0.00074332,0.32,1.1602,0.5
1.0006,-0.002056,0.00074161,0.32,1.1639,0.5
1.0006,-0.0020386,0.0007399,0.32,1.1675,0.5
1.0006,-0.0020212,0.00073819,0.32,1.1712,0.5
1.0006,-0.0020038,0.00073648,0.32,1.1749,0.5
1.0006,-0.0019864,0.00073477,0.32,1.1785,0.5
1.0006,-0.001969,0.00073306,0.32,1.1822,0.5
1.0006,-0.0019517,0.00073134,0.32,1.1858,0.5
1.0006,-0.0019343,0.00072963,0.32,1.1895,0.5
1.0006,-0.0019169,0.00072792,0.32,1.1932,0.5
1.0006,-0.0018995,0.00072621,0.32,1.1968,0.5
1.0006,-0.0018821,0.0007245,0.32,1.2005,0.5
1.0006,-0.0018647,0.00072279,0.32,1.2041,0.5
1.0006,-0.0018473,0.00072108,0.32,1.2078,0.5
1.0006,-0.0018299,0.00071937,0.32,1.2115,0.5
1.0005,-0.0018126,0.00071766,0.32,1.2151,0.5
1.0005,-0.0017952,0.00071595,0.32,1.2188,0.5
1.0005,-0.0017778,0.00071424,0.32,1.2224,0.5
1.0005,-0.0017604,0.00071253,0.32,1.2261,0.5
1.0005,-0.001743,0.00071082,0.32,1.2298,0.5
1.0005,-0.0017256,0.0007091,0.32,1.2334,0.5
1.0005,-0.0017082,0.00070739,0.32,1.2371,0.5
1.0005,-0.0016908,0.00070568,0.32,1.2407,0.5
1.0005,-0.0016735,0.00070397,0.32,1.2444,0.5
1.0005,-0.0016561,0.00070226,0.32,1.2481,0.5
1.0005,-0.0016387,0.00070055,0.32,1.2517,0.5
1.0005,-0.0016213,0.00069884,0.32,1.2554,0.5
1.0005,-0.0016048,0.00069718,0.32,1.259,0.5
1.0005,-0.001591,0.00069569,0.32,1.2627,0.5
1.0005,-0.0015772,0.00069419,0.32,1.2664,0.5
1.0005,-0.0015634,0.0006927,0.32,1.27,0.5
1.0005,-0.0015496,0.0006912,0.32,1.2737,0.5
1.0005,-0.0015359,0.00068971,0.32,1.2773,0.5
1.0004,-0.0015221,0.00068821,0.32,1.281,0.5
1.0004,-0.0015083,0.00068671,0.32,1.2847,0.5
1.0004,-0.0014945,0.00068522,0.32,1.2883,0.5
1.0004,-0.0014807,0.00068372,0.32,1.292,0.5
1.0004,-0.0014669,0.00068223,0.32,1.2956,0.5
1.0004,-0.0014531,0.00068073,0.32,1.2993,0.5
1.0004,-0.0014393,0.00067924,0.32,1.303,0.5
1.0004,-0.0014255,0.00067774,0.32,1.3066,0.5
1.0004,-0.0014118,0.00067625,0.32,1.3103,0.5
1.0004,-0.001398,0.00067475,0.32,1.3139,0.5
1.0004,-0.0013842,0.00067326,0.32,1.3176,0.5
1.0004,-0.0013704,0.00067176,0.32,1.3213,0.5
1.0004,-0.0013566,0.00067027,0.32,1.3249,0.5
1.0004,-0.0013428,0.00066877,0.32,1.3286,0.5
1.0004,-0.001329,0.00066727,0.32,1.3322,0.5
1.0004,-0.0013152,0.00066578,0.32,1.3359,0.5
1.0004,-0.0013014,0.00066428,0.32,1.3396,0.5
1.0004,-0.0012877,0.00066279,0.32,1.3432,0.5
1.0004,-0.0012739,0.00066129,0.32,1.3469,0.5
1.0004,-0.0012601,0.0006598,0.32,1.3505,0.5
1.0004,-0.0012463,0.0006583,0.32,1.3542,0.5
1.0004,-0.0012325,0.00065681,0.32,1.3579,0.5
1.0003,-0.0012187,0.00065531,0.32,1.3615,0.5
1.0003,-0.0012049,0.00065382,0.32,1.3652,0.5
1.0003,-0.0011911,0.00065232,0.32,1.3688,0.5
