"U:0","U:1","U:2","Points:0","Points:1","Points:2"
1.0002,-0.00084833,-0.00061326,0.32,-1.4786,0.5
1.0002,-0.00085939,-0.00061452,0.32,-1.475,0.5
1.0002,-0.00087045,-0.00061577,0.32,-1.4713,0.5
1.0002,-0.0008815,-0.00061703,0.32,-1.4677,0.5
1.0002,-0.00089256,-0.00061829,0.32,-1.464,0.5
1.0002,-0.00090362,-0.00061955,0.32,-1.4603,0.5
1.0002,-0.00091468,-0.00062081,0.32,-1.4567,0.5
1.0002,-0.00092574,-0.00062207,0.32,-1.453,0.5
1.0002,-0.0009368,-0.00062333,0.32,-1.4494,0.5
1.0002,-0.00094786,-0.00062459,0.32,-1.4457,0.5
1.0002,-0.00095892,-0.00062585,0.32,-1.442,0.5
1.0002,-0.00096998,-0.00062711,0.32,-1.4384,0.5
1.0002,-0.00098104,-0.00062837,0.32,-1.4347,0.5
1.0002,-0.0009921,-0.00062963,0.32,-1.4311,0.5
1.0002,-0.0010032,-0.00063089,0.32,-1.4274,0.5
1.0002,-0.0010142,-0.00063215,0.32,-1.4237,0.5
1.0002,-0.0010253,-0.0006334,0.32,-1.4201,0.5
1.0002,-0.0010363,-0.00063466,0.32,-1.4164,0.5
1.0002,-0.0010474,-0.00063592,0.32,-1.4128,0.5
1.0002,-0.0010585,-0.00063718,0.32,-1.4091,0.5
1.0002,-0.0010695,-0.00063844,0.32,-1.4054,0.5
1.0002,-0.0010806,-0.0006397,0.32,-1.4018,0.5
1.0002,-0.0010916,-0.00064096,0.32,-1.3981,0.5
1.0002,-0.0011027,-0.00064222,0.32,-1.3945,0.5
1.0002,-0.0011138,-0.00064348,0.32,-1.3908,0.5
1.0002,-0.0011248,-0.00064474,0.32,-1.3871,0.5
1.0002,-0.0011359,-0.000646,0.32,-1.3835,0.5
1.0001,-0.0011469,-0.00064726,0.32,-1.3798,0.5
1.0001,-0.001158,-0.00064852,0.32,-1.3762,0.5
1.0001,-0.001169,-0.00064978,0.32,-1.3725,0.5
1.0001,-0.0011825,-0.00065135,0.32,-1.3688,0.5
1.0001,-0.0011959,-0.00065293,0.32,-1.3652,0.5
1.0001,-0.0012093,-0.0006545,0.32,-1.3615,0.5
1.0001,-0.0012227,-0.00065608,0.32,-1.3579,0.5
1.0001,-0.0012361,-0.00065765,0.32,-1.3542,0.5
1.0001,-0.0012495,-0.00065923,0.32,-1.3505,0.5
1.0001,-0.0012629,-0.0006608,0.32,-1.3469,0.5
1.0001,-0.0012763,-0.00066238,0.32,-1.3432,0.5
1.0001,-0.0012897,-0.00066396,0.32,-1.3396,0.5
1.0001,-0.0013031,-0.00066553,0.32,-1.3359,0.5
1.0001,-0.0013165,-0.00066711,0.32,-1.3322,0.5
1.0001,-0.0013299,-0.00066868,0.32,-1.3286,0.5
1.0001,-0.0013433,-0.00067026,0.32,-1.3249,0.5
1.0001,-0.0013567,-0.00067183,0.32,-1.3213,0.5
1.0001,-0.0013701,-0.00067341,0.32,-1.3176,0.5
1.0001,-0.0013835,-0.00067499,0.32,-1.3139,0.5
1.0001,-0.0013969,-0.00067656,0.32,-1.3103,0.5
1.0001,-0.0014103,-0.00067814,0.32,-1.3066,0.5
1.0001,-0.0014237,-0.00067971,0.32,-1.303,0.5
1.0001,-0.0014371,-0.00068129,0.32,-1.2993,0.5
